Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
220000000,3,940,224,627,0.5,-662.6085178,-137.8858075,-0.1213534143,-0.4890324927,-6.77E-05,-391631.2746,-6.73E-05,-1.95E-05,no
220000000,3,940,224,627,0.5,-623.6415352,-128.9938102,-0.1766490732,-0.4607078673,-6.37E-05,-368216.9009,-6.34E-05,-1.84E-05,no
220000000,3,940,224,627,0.5,-608.1254218,-117.253694,-0.2279774386,-0.4223754959,-6.22E-05,-354882.1506,-5.80E-05,-1.69E-05,no
220000000,3,940,224,627,0.5,-505.7696126,-102.9678453,-0.2741857522,-0.3748239337,-5.17E-05,-297816.7602,-5.13E-05,-1.50E-05,no
220000000,3,940,224,627,0.5,-439.0803407,-86.35318174,-0.3142364061,-0.3191634605,-4.49E-05,-257061.4102,-4.34E-05,-1.28E-05,no
220000000,3,940,224,627,0.5,-365.5520721,-68.0129866,-0.3472298648,-0.2565767075,-3.74E-05,-212115.9778,-3.46E-05,-1.03E-05,no
220000000,3,940,224,627,0.5,-251.6249008,-48.0776506,-0.3724250867,-0.1885302286,-2.57E-05,-146625.5144,-2.50E-05,-7.56E-06,no
220000000,3,940,224,627,0.5,-154.8108341,-27.0961761,-0.3892564162,-0.116550117,-1.58E-05,-88995.60184,-1.48E-05,-4.68E-06,no
220000000,3,940,224,627,0.5,-54.94877977,-5.9606893,-0.3973485926,-0.04198461387,-5.62E-06,-29799.15317,-4.30E-06,-1.70E-06,no
220000000,3,940,224,627,0.5,54.66178962,16.33482087,-0.3966664396,0.05712128569,5.59E-06,34734.15386,6.28E-06,2.27E-06,no
220000000,3,940,224,627,0.5,130.3295004,39.31956887,-0.3868586686,0.1323075701,1.33E-05,82998.5662,1.62E-05,5.08E-06,no
220000000,3,940,224,627,0.5,257.8162216,56.76511364,-0.3683924808,0.2031575424,2.63E-05,153904.7629,2.69E-05,8.12E-06,no
220000000,3,940,224,627,0.5,289.9441534,75.92161958,-0.3416738421,0.2699891946,2.96E-05,178994.9966,3.64E-05,1.08E-05,no
220000000,3,940,224,627,0.5,440.2075471,90.41239981,-0.3072920911,0.3304972331,4.50E-05,259598.7999,4.53E-05,1.33E-05,no
220000000,3,940,224,627,0.5,486.6350097,107.7722035,-0.2660151255,0.3852040287,4.97E-05,290805.8773,5.27E-05,1.54E-05,no
220000000,3,940,224,627,0.5,575.0325187,120.058326,-0.2187667709,0.4309601378,5.88E-05,340064.014,5.92E-05,1.72E-05,no
220000000,3,940,224,627,0.5,613.1185716,129.7493761,-0.1666068224,0.4672876032,6.27E-05,363438.3306,6.43E-05,1.87E-05,no
